dist,obs,p,s,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN,cutoff,Method
Lognormal,500,2000,0.75,0.05,88.9404,99.7,11.0446,0.3,8.836523679,RMDP
Lognormal,500,2000,0.75,0.2,97.5254,97.541,1.9828,2.459,22.85372311,RMDP
Normal,100,100,0.1,0,94.944,NA,5.056,NA,2.650907232,RMDP
Normal,100,100,0.1,0.05,96.443,100,3.557,0,2.94438158,RMDP
Normal,100,100,0.1,0.2,99.799,100,0.201,0,5.948530787,RMDP
Normal,100,100,0.25,0,92.695,NA,7.305,NA,4.099146461,RMDP
Normal,100,100,0.25,0.05,95.254,100,4.746,0,4.790688945,RMDP
Normal,100,100,0.25,0.2,99.723,100,0.277,0,9.18902156,RMDP
Normal,100,100,0.5,0,92.745,NA,7.255,NA,5.911472263,RMDP
Normal,100,100,0.5,0.05,95.04,100,4.96,0,6.198648658,RMDP
Normal,100,100,0.5,0.2,99.639,99.77,0.315,0.23,8.976214018,RMDP
Normal,100,100,0.75,0,92.418,NA,7.582,NA,3.572174647,RMDP
Normal,100,100,0.75,0.05,94.696,98.68,5.238,1.32,3.47576702,RMDP
Normal,100,100,0.75,0.2,97.802,90.8,0.358,9.2,4.253024987,RMDP
Normal,500,2000,0.1,0,92.9342,NA,7.0658,NA,4.860359372,RMDP
Normal,500,2000,0.1,0.05,95.4046,100,4.5954,0,5.580990108,RMDP
Normal,500,2000,0.1,0.2,99.7252,100,0.2748,0,10.49322135,RMDP
Normal,500,2000,0.25,0,92.567,NA,7.433,NA,6.160739586,RMDP
Normal,500,2000,0.25,0.05,95.0766,100,4.9234,0,6.508670449,RMDP
Normal,500,2000,0.25,0.2,99.7036,100,0.2964,0,9.483936477,RMDP
Normal,500,2000,0.5,0,92.486,NA,7.514,NA,3.2764712,RMDP
Normal,500,2000,0.5,0.05,95.003,99.92,4.993,0.08,3.218447447,RMDP
Normal,500,2000,0.5,0.2,99.3792,98.396,0.3,1.604,3.748154249,RMDP
Normal,500,2000,0.75,0,92.2622,NA,7.7378,NA,0.916967663,RMDP
Normal,500,2000,0.75,0.05,94.757,97.892,5.1376,2.108,0.905584299,RMDP
Normal,500,2000,0.75,0.2,96.833,85.993,0.3656,14.007,1.208939565,RMDP
T,100,100,0.1,0,95.132,NA,4.868,NA,10.46638167,RMDP
T,100,100,0.1,0.05,96.524,100,3.476,0,11.52430458,RMDP
T,100,100,0.1,0.2,99.589,100,0.411,0,20.3318608,RMDP
T,100,100,0.25,0,93.928,NA,6.072,NA,7.314894521,RMDP
T,100,100,0.25,0.05,95.818,100,4.182,0,8.063622213,RMDP
T,100,100,0.25,0.2,99.533,99.98,0.463,0.02,14.25988097,RMDP
T,100,100,0.5,0,92.225,NA,7.775,NA,5.085671623,RMDP
T,100,100,0.5,0.05,94.418,99.86,5.575,0.14,5.517985705,RMDP
T,100,100,0.5,0.2,99.015,98.115,0.608,1.885,9.437475405,RMDP
T,100,100,0.75,0,91.211,NA,8.789,NA,3.208035547,RMDP
T,100,100,0.75,0.05,93.402,97.28,6.462,2.72,3.258930589,RMDP
T,100,100,0.75,0.2,95.823,82.85,0.747,17.15,4.846874452,RMDP
T,500,2000,0.1,0,94.8114,NA,5.1886,NA,14.87186535,RMDP
T,500,2000,0.1,0.05,96.4038,100,3.5962,0,16.27254617,RMDP
T,500,2000,0.1,0.2,99.5924,99.969,0.4014,0.031,28.47932801,RMDP
T,500,2000,0.25,0,93.9166,NA,6.0834,NA,5.709024454,RMDP
T,500,2000,0.25,0.05,95.7806,99.924,4.2156,0.076,6.205020102,RMDP
T,500,2000,0.25,0.2,99.0382,97.673,0.4964,2.327,10.49066264,RMDP
T,500,2000,0.5,0,92.1438,NA,7.8562,NA,2.144142002,RMDP
T,500,2000,0.5,0.05,94.4256,99.776,5.5632,0.224,2.287948728,RMDP
T,500,2000,0.5,0.2,98.7622,97.123,0.6624,2.877,3.829387474,RMDP
T,500,2000,0.75,0,91.1698,NA,8.8302,NA,0.859281811,RMDP
T,500,2000,0.75,0.05,93.6972,98.912,6.2484,1.088,0.91092987,RMDP
T,500,2000,0.75,0.2,97.6064,91.797,0.753,8.203,1.551644738,RMDP
