dist,obs,p,s,cutoff,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN
Lognormal,354,1917,0.75,33,0.2,97.93841808,97.47464789,1.555084746,2.525352113
Lognormal,500,2000,0,3.793887,0.2,98.791,100,1.209,0
Lognormal,500,2000,0.1,5.05153,0.2,98.892,100,1.108,0
Lognormal,500,2000,0.25,7.977355,0.2,98.6168,100,1.3832,0
Lognormal,500,2000,0.5,15.21499,0.2,98.3768,99.847,1.5926,0.153
Lognormal,500,2000,0.75,30,0.2,97.7402,97.225,1.7048,2.775
Normal,50,50,0,2.573894,0.2,99.422,100,0.578,0
Normal,50,50,0.1,2.969817,0.2,99.196,100,0.804,0
Normal,50,50,0.25,4.563534,0.2,99.102,100,0.898,0
Normal,50,50,0.5,6.764683,0.2,99.062,99.9,0.918,0.1
Normal,50,50,0.75,8.235724,0.2,97.648,92.52,0.856,7.48
Normal,50,100,0,2.491684,0.2,99.358,100,0.642,0
Normal,50,100,0.1,3.114838,0.2,99.032,100,0.968,0
Normal,50,100,0.25,4.604037,0.2,98.68,100,1.32,0
Normal,50,100,0.5,7.288551,0.2,99.052,100,0.948,0
Normal,50,100,0.75,8.287888,0.2,98.328,96.63,0.998,3.37
Normal,100,100,0,2.541206,0.2,99.398,100,0.602,0
Normal,100,100,0.1,3.147725,0.2,98.947,100,1.053,0
Normal,100,100,0.25,4.940396,0.2,98.748,100,1.252,0
Normal,100,100,0.5,7.71386,0.2,99.187,100,0.813,0
Normal,100,100,0.75,8.23821,0.2,98.982,99.425,0.903,0.575
Normal,500,100,0.75,8.330374,0.2,99.3474,100,0.6526,0
Normal,500,500,0.75,8.24444,0.2,99.3074,100,0.6926,0
Normal,500,1000,0.75,8.291273,0.2,97.2402,89.743,0.7084,10.257
Normal,500,1500,0.75,8.27363,0.2,97.2278,89.731,0.7184,10.269
Normal,354,1917,0,2.447995,0.2,99.57655367,100,0.423446328,0
Normal,354,1917,0.1,5.983746,0.2,98.94067797,100,1.059322034,0
Normal,354,1917,0.25,8.045483,0.2,99.29152542,100,0.708474576,0
Normal,354,1917,0.5,8.326522,0.2,99.23898305,99.73098592,0.707062147,0.269014085
Normal,354,1917,0.75,8.38859,0.2,97.46384181,90.8084507,0.692655367,9.191549296
Normal,500,2000,0,2.442272,0.2,99.5634,100,0.4366,0
Normal,500,2000,0.1,6.127075,0.2,99.0066,100,0.9934,0
Normal,500,2000,0.25,7.872895,0.2,99.215,100,0.785,0
Normal,500,2000,0.5,8.612877,0.2,99.195,99.115,0.628,0.885
Normal,500,2000,0.75,8.456433,0.2,97.3184,89.955,0.6726,10.045
T,50,50,0,4.220589,0.2,98.796,100,1.204,0
T,50,50,0.1,4.356207,0.2,98.886,100,1.114,0
T,50,50,0.25,4.675781,0.2,98.69,99.97,1.304,0.03
T,50,50,0.5,6.250871,0.2,98.206,97.61,1.316,2.39
T,50,50,0.75,8.444267,0.2,94.578,79.5,1.322,20.5
T,50,100,0,4.240285,0.2,98.708,100,1.292,0
T,50,100,0.1,4.569023,0.2,98.938,100,1.062,0
T,50,100,0.25,5.021344,0.2,98.804,99.99,1.194,0.01
T,50,100,0.5,6.478947,0.2,98.37,98.61,1.352,1.39
T,50,100,0.75,8.922112,0.2,95.352,82.71,1.19,17.29
T,100,100,0,4.471149,0.2,98.794,100,1.206,0
T,100,100,0.1,4.589637,0.2,98.827,100,1.173,0
T,100,100,0.25,5.036062,0.2,98.795,100,1.205,0
T,100,100,0.5,6.4701,0.2,98.465,98.995,1.334,1.005
T,100,100,0.75,8.8709,0.2,95.964,85.48,1.132,14.52
T,500,100,0.75,8.544731,0.2,96.4564,88.371,1.2178,11.629
T,500,500,0.75,8.760265,0.2,97.6386,94.244,1.2102,5.756
T,500,1000,0.75,8.954174,0.2,98.1638,96.617,1.1596,3.383
T,500,1500,0.75,8.954174,0.2,97.3608,92.592,1.1576,7.408
T,354,1917,0,4.559835,0.2,98.72881356,100,1.271186441,0
T,354,1917,0.1,4.678747,0.2,98.75141243,100,1.248587571,0
T,354,1917,0.25,5.360069,0.2,98.80960452,100,1.19039548,0
T,354,1917,0.5,6.793317,0.2,98.65960452,99.91267606,1.322881356,0.087323944
T,354,1917,0.75,8.701328,0.2,97.75932203,94.96619718,1.231073446,5.033802817
T,500,2000,0,4.534513,0.2,98.7186,100,1.2814,0
T,500,2000,0.1,4.648694,0.2,98.7414,99.998,1.2582,0.002
T,500,2000,0.25,5.322437,0.2,98.6502,99.365,1.2228,0.635
T,500,2000,0.5,6.744082,0.2,98.3736,98.77,1.3804,1.23
T,500,2000,0.75,8.618658,0.2,97.7728,95.382,1.3036,4.618
