,X,h,corr,obs,p,dist,avg_FP
92,92,4.146320301,0.354023972,958,1858,Lognormal,0.024290188
93,93,4.637823958,0.301407904,854,1392,T,0.032077283
94,94,5.458873734,0.358492901,849,1682,Lognormal,0.005021201
95,95,5.269702359,0.165191368,899,1646,T,0.018793103
96,96,5.201463517,0.282676204,976,1566,Normal,0.083429303
97,97,4.465076094,0.336454376,743,1349,Normal,0.103061911
98,98,3.72010971,0.261040269,793,1052,T,0.048745271
99,99,3.878596594,0.219116271,696,837,Lognormal,0.010765805
100,100,3.971797563,0.176103686,642,1260,Lognormal,0.012394081
101,101,4.358392809,0.138631489,688,1049,T,0.027489826
102,102,4.755848549,0.132239967,619,1220,Normal,0.070736672
103,103,4.036273372,0.208990067,822,1135,Lognormal,0.010317518
104,104,3.907070195,0.307337836,911,1217,T,0.048356751
105,105,3.776293362,0.267093763,947,1699,Normal,0.135588173
106,106,4.493906391,0.797290317,680,779,Normal,0.039014706
107,107,4.530631621,0.67261945,469,905,T,0.045115139
108,108,3.752762918,0.753683919,575,504,Lognormal,0.048245217
109,109,3.912494352,0.648982091,598,715,Normal,0.082443144
110,110,4.19886983,0.585017941,510,951,Lognormal,0.028835294
111,111,4.085340114,0.601810756,773,771,T,0.051598965
112,112,4.220817473,0.784257758,592,1130,Lognormal,0.105866554
113,113,3.508826532,0.773415405,735,851,Normal,0.088469388
114,114,3.654852294,0.714663397,861,947,T,0.07998374
115,115,3.890407347,0.798582887,986,1113,Lognormal,0.11409432
116,116,4.471434555,0.790258255,909,593,T,0.032309131
117,117,3.83916673,0.656706626,868,544,Normal,0.073927419
118,118,5.430476297,0.64295393,475,594,T,0.015882105
119,119,4.798804961,0.783513219,491,249,Lognormal,0.005431772
120,120,5.071226102,0.69110251,556,530,Normal,0.026125899
121,121,5.347709209,0.609772121,682,891,T,0.02481085
122,122,5.472611648,0.76621207,721,1003,Lognormal,0.039203883
123,123,5.496033066,0.68234391,568,1115,Normal,0.037716549
124,124,5.41354551,0.795563421,917,1299,Normal,0.033695747
125,125,5.250094199,0.698343713,1000,1453,T,0.042154
126,126,4.981894804,0.726372711,977,824,Lognormal,0.023678608
127,127,4.342683347,0.760010592,875,1490,Lognormal,0.100275429
128,128,5.025990275,0.774722755,761,1422,T,0.04921025
129,129,4.780828149,0.768954811,930,1741,Normal,0.06363871
130,130,4.572141615,0.659025617,805,1271,Normal,0.071749068
131,131,4.662906015,0.692940973,663,1038,T,0.046300151
132,132,4.860073399,0.614579457,785,1501,Lognormal,0.036044586
133,133,4.535541659,0.441778738,831,1517,Lognormal,0.018590854
134,134,5.43976067,0.604517344,979,1796,T,0.039468846
135,135,5.192682912,0.548073888,876,1291,Normal,0.062915525
136,136,4.834345047,0.412446408,773,1211,Lognormal,0.008099612
